Street_ID,Street_Name,Error_Type
4,"SN 35/6B, Phám Văn",lỗi sai chính tả + thiếu từ
4,"SN 507C, Văn Đồng",lỗi thiếu từ
4,"SN 663/40, Phạm Văn Đồng",không lỗi
4,"SN 724B, Phố Phạm Văn Đồng",lỗi thêm từ gây nhiễu
4,"SN 751/18, Phạm Văn Đồng",không lỗi
4,"SN 814, Phường Phám Văn Đỗng",lỗi sai chính tả + thêm từ gây nhiễu
4,"SN 971/23, Phaïm Vaên Ñoàng",lỗi font
4,"SN 992/3, Phàm Văn Đông",lỗi sai chính tả
5,"SN 113/14B, Nguyến Tri",lỗi sai chính tả + thiếu từ
5,"SN 16A, Tri Phương",lỗi thiếu từ
5,"SN 238/99B, Nguyễn Tri hPương",lỗi sai chính tả + đổi thứ tự các từ
5,"SN 381, Nguyeãn Tri Phöông",lỗi font
5,"SN 394/77A, Nguyễn Tri Phương",lỗi thiếu từ + đổi thứ tự các từ
5,"SN 46C, Không biết Nguyễn Tri Phương",lỗi thêm từ gây nhiễu
5,"SN 518C, Nguyễn Tri Phương",không lỗi
5,"SN 519, Không biết Nguyện Tri Phửớng",lỗi sai chính tả + thêm từ gây nhiễu
5,"SN 57/72A, Nguyễn Tri Phương",không lỗi
5,"SN 649/86, gNuyễn Tri Phương",lỗi đổi thứ tự các từ
5,"SN 661, Nguyền Tri Phữởng",lỗi sai chính tả
6,"SN 286, Leâ Vaên Syõ",lỗi font
6,"SN 320/55B, Lê Văn Sỹ",không lỗi
6,"SN 389/62, êL Văn Sỹ",lỗi đổi thứ tự các từ
6,"SN 550/52, CSH Lề Văn Sỳ",lỗi sai chính tả + thêm từ gây nhiễu
6,"SN 626/52B, Ngõ Lê Văn Sỹ",lỗi thêm từ gây nhiễu
6,"SN 721, Lê Văn Sỹ",không lỗi
6,"SN 729C, Lệ Văn Sỷ",lỗi sai chính tả
6,"SN 804/82B, Lê Văn Sỹ",lỗi thiếu từ + đổi thứ tự các từ
6,"SN 819/1B, Lệ Sỳ",lỗi sai chính tả + thiếu từ
6,"SN 82/32, Lê Văn ỹS",lỗi sai chính tả + đổi thứ tự các từ
6,"SN 948A, Lê Văn",lỗi thiếu từ
7,"SN 111, Đình Phùng",lỗi thiếu từ
7,"SN 216/24, Không biết Phan Đỉnh Phụng",lỗi sai chính tả + thêm từ gây nhiễu
7,"SN 413B, Phan Đình hPùng",lỗi đổi thứ tự các từ
7,"SN 445/56, Định Phũng",lỗi sai chính tả + thiếu từ
7,"SN 466/86, Phan Ñình Phuøng",lỗi font
7,"SN 487/94, Phan Đình Pùhng",lỗi sai chính tả + đổi thứ tự các từ
7,"SN 501/74C, Phan Đình Phùng",không lỗi
7,"SN 783B, Nhà trống Phan Đình Phùng",lỗi thêm từ gây nhiễu
7,"SN 798/40C, Phan Đình Phùng",không lỗi
7,"SN 925B, Phan Đình Phùng",lỗi thiếu từ + đổi thứ tự các từ
7,"SN 929/81B, Phan Đỉnh Phúng",lỗi sai chính tả
8,"SN 199A, Hoàng Văn Thụ",không lỗi
8,"SN 206, Honàg Văn Thụ",lỗi đổi thứ tự các từ
8,"SN 327, Hoàng Văn Thụ",lỗi thiếu từ + đổi thứ tự các từ
8,"SN 38C, Nhà trống Hoảng Văn Thủ",lỗi sai chính tả + thêm từ gây nhiễu
8,"SN 590/30, CSH Hoàng Văn Thụ",lỗi thêm từ gây nhiễu
8,"SN 616A, Hoàng Văn Tụh",lỗi sai chính tả + đổi thứ tự các từ
8,"SN 646/18C, Hoaøng Vaên Thuï",lỗi font
8,"SN 749/1, Hoãng Văn",lỗi sai chính tả + thiếu từ
8,"SN 788, Hoáng Văn Thù",lỗi sai chính tả
8,"SN 823, Hoàng Văn Thụ",không lỗi
8,"SN 950, Hoàng Thụ",lỗi thiếu từ
9,"SN 214/59A, Lyù Thöôøng Kieät",lỗi font
9,"SN 36C, ýL Thường Kiệt",lỗi đổi thứ tự các từ
9,"SN 405/53, Thường Kiệt",lỗi thiếu từ
9,"SN 463/63, Lý Thường Kiệt",không lỗi
9,"SN 486, Lý Thường Kiệt",lỗi thiếu từ + đổi thứ tự các từ
9,"SN 545A, Phố Lý Thường Kiệt",lỗi thêm từ gây nhiễu
9,"SN 558/11C, Lý Tưhờng Kiệt",lỗi sai chính tả + đổi thứ tự các từ
9,"SN 598/66A, Lý Thường Kiệt",không lỗi
9,"SN 753/79, CSH Lỵ Thữỡng Kiểt",lỗi sai chính tả + thêm từ gây nhiễu
9,"SN 782/14B, Thửơng Kiểt",lỗi sai chính tả + thiếu từ
9,"SN 827/54, Lỹ Thứởng Kiễt",lỗi sai chính tả
10,"SN 233/85B, Bà Huyện Thanh Quan",lỗi thiếu từ + đổi thứ tự các từ
10,"SN 251/27, Bà Huyện Thanh Quan",không lỗi
10,"SN 422/97A, Ngõ Bà Huyện Thanh Quan",lỗi thêm từ gây nhiễu
10,"SN 641B, Bạ Huyên Thanh Quan",lỗi sai chính tả
10,"SN 645/9C, Baø Huyeän Thanh Quan",lỗi font
10,"SN 658/71, Bà Huyện Thanh Quan",không lỗi
10,"SN 684, àB Huyện Thanh Quan",lỗi sai chính tả + đổi thứ tự các từ
10,"SN 728, Không xác định Bá Huyển Thanh Quan",lỗi sai chính tả + thêm từ gây nhiễu
10,"SN 765/75, Bà Huynệ Thanh Quan",lỗi đổi thứ tự các từ
10,"SN 787, Bà Huyện Quan",lỗi thiếu từ
10,"SN 866, Bá Thanh Quan",lỗi sai chính tả + thiếu từ
11,"SN 109/9, Tôn Đức Thắng",không lỗi
11,"SN 112, Tôn Đcứ Thắng",lỗi đổi thứ tự các từ
11,"SN 154C, Tôn Đức Thắng",không lỗi
11,"SN 234/51C, Toân Ñöùc Thaéng",lỗi font
11,"SN 31, Không xác định Tỗn Đừc Thắng",lỗi sai chính tả + thêm từ gây nhiễu
11,"SN 318B, Tôn Đức Thắng",lỗi thiếu từ + đổi thứ tự các từ
11,"SN 718/74A, Tộn Thắng",lỗi sai chính tả + thiếu từ
11,"SN 770, Tôn Đức Thnắg",lỗi sai chính tả + đổi thứ tự các từ
11,"SN 910, Nhà trống Tôn Đức Thắng",lỗi thêm từ gây nhiễu
11,"SN 948/22, Đức Thắng",lỗi thiếu từ
11,"SN 974/6, Tổn Đưc Thắng",lỗi sai chính tả
12,"SN 226/65, Nguyên Văn Trổi",lỗi sai chính tả
12,"SN 303/20, Nguyễn Văn Trỗi",không lỗi
12,"SN 358/71, Văn Trỗi",lỗi thiếu từ
12,"SN 490B, Ngyuễn Văn Trỗi",lỗi đổi thứ tự các từ
12,"SN 743, Nguyễn Văn Trỗi",không lỗi
12,"SN 75/30, CSH Nguyễn Văn Trỗi",lỗi thêm từ gây nhiễu
12,"SN 819/98, Nguyến Trội",lỗi sai chính tả + thiếu từ
12,"SN 849/60, Nguyễn Văn Trỗi",lỗi thiếu từ + đổi thứ tự các từ
12,"SN 877/19C, Nguyễn Vnă Trỗi",lỗi sai chính tả + đổi thứ tự các từ
12,"SN 967/90, Không biết Nguyển Văn Trội",lỗi sai chính tả + thêm từ gây nhiễu
12,"SN 972/61, Nguyeãn Vaên Troãi",lỗi font
13,"SN 126/96, Nguyễn Thị Minh Khai",không lỗi
13,"SN 147, Nguyển Thì Khai",lỗi sai chính tả + thiếu từ
13,"SN 171/9, Nguyến Thĩ Minh Khai",lỗi sai chính tả
13,"SN 240/39A, Không biết Nguyền Thĩ Minh Khai",lỗi sai chính tả + thêm từ gây nhiễu
13,"SN 354/63, Nhà trống Nguyễn Thị Minh Khai",lỗi thêm từ gây nhiễu
13,"SN 412A, Nguyeãn Thò Minh Khai",lỗi font
13,"SN 585, Nguyễn hTị Minh Khai",lỗi sai chính tả + đổi thứ tự các từ
13,"SN 590, Nguyễn Thị Minh Khai",không lỗi
13,"SN 627/83C, Nguyễn Thị Mnih Khai",lỗi đổi thứ tự các từ
13,"SN 725/86C, Nguyễn Minh Khai",lỗi thiếu từ
13,"SN 748/3, Nguyễn Thị Minh Khai",lỗi thiếu từ + đổi thứ tự các từ
14,"SN 113, Hẻm Võ Văn Tần",lỗi thêm từ gây nhiễu
14,"SN 192/86A, Võ Văn Tần",lỗi thiếu từ + đổi thứ tự các từ
14,"SN 360B, Võ Văn Tần",không lỗi
14,"SN 37, Vọ Văn Tân",lỗi sai chính tả
14,"SN 391, Nhà trống Vó Văn Tận",lỗi sai chính tả + thêm từ gây nhiễu
14,"SN 40/31, Võ Vnă Tần",lỗi sai chính tả + đổi thứ tự các từ
14,"SN 504, Vỏ Tẩn",lỗi sai chính tả + thiếu từ
14,"SN 530, Võ ăVn Tần",lỗi đổi thứ tự các từ
14,"SN 554/5C, Võ Văn Tần",không lỗi
14,"SN 723, Voõ Vaên Taàn",lỗi font
14,"SN 777/63, Võ Văn",lỗi thiếu từ
15,"SN 272/57A, Lê Thánh Tôn",không lỗi
15,"SN 380C, Lề Thảnh Tỗn",lỗi sai chính tả
15,"SN 404B, Lê Thánh Tôn",không lỗi
15,"SN 454, Leâ Thaùnh Toân",lỗi font
15,"SN 48, Phố Lể Thạnh Tổn",lỗi sai chính tả + thêm từ gây nhiễu
15,"SN 583/44C, Nhà 2 tầng Lê Thánh Tôn",lỗi thêm từ gây nhiễu
15,"SN 796/91A, Thánh Tôn",lỗi thiếu từ
15,"SN 859/81, Lể Thãnh",lỗi sai chính tả + thiếu từ
15,"SN 877/51, êL Thánh Tôn",lỗi đổi thứ tự các từ
15,"SN 938/13B, Lê Thánh Tôn",lỗi thiếu từ + đổi thứ tự các từ
15,"SN 961/91B, Lê Táhnh Tôn",lỗi sai chính tả + đổi thứ tự các từ
16,"SN 162/79A, Đinh Tiễn Hoãng",lỗi sai chính tả
16,"SN 18019, Đinh Tiên",lỗi thiếu từ
16,"SN 19/82, Đinh Tiên Hoàng",không lỗi
16,"SN 331/36A, Nhà 2 tầng Đinh Tiền Hoảng",lỗi sai chính tả + thêm từ gây nhiễu
16,"SN 413/63, Tiền Hoạng",lỗi sai chính tả + thiếu từ
16,"SN 448/97B, Ấp Đinh Tiên Hoàng",lỗi thêm từ gây nhiễu
16,"SN 53/2, Đinh Tiên Hoàng",lỗi thiếu từ + đổi thứ tự các từ
16,"SN 703/9C, Đinh Tinê Hoàng",lỗi sai chính tả + đổi thứ tự các từ
16,"SN 71/35C, Ñinh Tieân Hoaøng",lỗi font
16,"SN 765C, Đinh Tiên Hoàng",không lỗi
16,"SN 865/68C, Đinh Têin Hoàng",lỗi đổi thứ tự các từ
17,"SN 120C, Nguyển Hừu",lỗi sai chính tả + thiếu từ
17,"SN 133, Hữu Cảnh",lỗi thiếu từ
17,"SN 173, Nguyễn Hữu Cảnh",lỗi thiếu từ + đổi thứ tự các từ
17,"SN 221/36, Nhà 2 tầng Nguyên Hửu Cãnh",lỗi sai chính tả + thêm từ gây nhiễu
17,"SN 328/31, Nguyễn Hữu Cảnh",không lỗi
17,"SN 419/24, Nguyễn Hữu Cảhn",lỗi đổi thứ tự các từ
17,"SN 429/23, Nguyeãn Höõu Caûnh",lỗi font
17,"SN 61, Không biết Nguyễn Hữu Cảnh",lỗi thêm từ gây nhiễu
17,"SN 625/76, Nguyễn Hữu Cảnh",không lỗi
17,"SN 957C, Nguyến Hứu Cánh",lỗi sai chính tả
17,"SN 992A, Nugyễn Hữu Cảnh",lỗi sai chính tả + đổi thứ tự các từ
18,"SN 119/48C, Phan Chu Trinh",không lỗi
18,"SN 272, Phan Chu rTinh",lỗi đổi thứ tự các từ
18,"SN 30/69A, Chu Trinh",lỗi sai chính tả + thiếu từ
18,"SN 342A, Phan Chu Trinh",lỗi sai chính tả
18,"SN 441/54A, Không xác định Phan Chu Trinh",lỗi sai chính tả + thêm từ gây nhiễu
18,"SN 572/7, Phan Chu Tirnh",lỗi sai chính tả + đổi thứ tự các từ
18,"SN 701B, Phan Chu Trinh",lỗi font
18,"SN 766C, Nhà 2 tầng Phan Chu Trinh",lỗi thêm từ gây nhiễu
18,"SN 857, Phan Trinh",lỗi thiếu từ
18,"SN 892, Phan Chu Trinh",lỗi thiếu từ + đổi thứ tự các từ
18,"SN 910/86, Phan Chu Trinh",không lỗi
19,"SN 100/62, Lỵ Tử Trỏng",lỗi sai chính tả
19,"SN 295B, CSH Lỳ Tư Tróng",lỗi sai chính tả + thêm từ gây nhiễu
19,"SN 416/32C, Lyù Töï Troïng",lỗi font
19,"SN 443/41, CSH Lý Tự Trọng",lỗi thêm từ gây nhiễu
19,"SN 486, Lý Tự Trọng",không lỗi
19,"SN 50, Lý Tự Trọng",lỗi thiếu từ + đổi thứ tự các từ
19,"SN 658, Lý Tự Trọng",không lỗi
19,"SN 717A, Lý ựT Trọng",lỗi sai chính tả + đổi thứ tự các từ
19,"SN 720, Tư Trỏng",lỗi sai chính tả + thiếu từ
19,"SN 763, Lý Tự rTọng",lỗi đổi thứ tự các từ
19,"SN 842A, Lý Trọng",lỗi thiếu từ
20,"SN 168/33B, Huyønh Vaên Baùnh",lỗi font
20,"SN 172, Nhà 2 tầng Huỵnh Văn Bạnh",lỗi sai chính tả + thêm từ gây nhiễu
20,"SN 323/45, Phố Huỳnh Văn Bánh",lỗi thêm từ gây nhiễu
20,"SN 367/36C, Huỳnh Văn Báhn",lỗi sai chính tả + đổi thứ tự các từ
20,"SN 371B, Huỳnh Văn áBnh",lỗi đổi thứ tự các từ
20,"SN 45511, Huỳnh Văn Bánh",không lỗi
20,"SN 458A, Văn Bánh",lỗi thiếu từ
20,"SN 55/20, Huỷnh Văn",lỗi sai chính tả + thiếu từ
20,"SN 751/83B, Huỳnh Văn Bánh",lỗi thiếu từ + đổi thứ tự các từ
20,"SN 884/67, Huỳnh Văn Bánh",không lỗi
20,"SN 906/67A, Huỹnh Văn Bảnh",lỗi sai chính tả
21,"SN 111C, Võ hTị Sáu",lỗi đổi thứ tự các từ
21,"SN 233/73, Võ Thị Sáu",không lỗi
21,"SN 291/34B, Võ Thị Sáu",không lỗi
21,"SN 405/91A, Võ Thị",lỗi thiếu từ
21,"SN 407A, Võ Thị Sáu",lỗi thiếu từ + đổi thứ tự các từ
21,"SN 451/62, Võ Tịh Sáu",lỗi sai chính tả + đổi thứ tự các từ
21,"SN 559/90A, Voõ Thò Saùu",lỗi font
21,"SN 81, Phường Võ Thị Sáu",lỗi thêm từ gây nhiễu
21,"SN 841/29, Ấp Vó Thĩ Sàu",lỗi sai chính tả + thêm từ gây nhiễu
21,"SN 874/88, Vọ Thỉ Sạu",lỗi sai chính tả
21,"SN 980B, Thì Sàu",lỗi sai chính tả + thiếu từ
22,"SN 697C, CSH Nguyễn Khắc Viện",lỗi thêm từ gây nhiễu
22,"SN 714/21, Nguyền Khắc Viên",lỗi sai chính tả
22,"SN 748, Không biết Nguyển Khắc Viến",lỗi sai chính tả + thêm từ gây nhiễu
22,"SN 811/95A, Nguyeãn Khaéc Vieän",lỗi font
22,"SN 824, Nguyễn Khắc Viện",lỗi thiếu từ + đổi thứ tự các từ
22,"SN 845, Nguyễn Khắc Viện",không lỗi
22,"SN 851, Nguyễn Khắc Vinệ",lỗi sai chính tả + đổi thứ tự các từ
22,"SN 918/45B, Nguyễn Khắc Viện",không lỗi
22,"SN 955/97, Nguyện Viền",lỗi sai chính tả + thiếu từ
22,"SN 964/7, Ngyuễn Khắc Viện",lỗi đổi thứ tự các từ
22,"SN 987/41, Nguyễn Khắc",lỗi thiếu từ
23,"SN 236C, Cách Mạng Tháng Tám",lỗi thiếu từ + đổi thứ tự các từ
23,"SN 430/29B, Cách Mạng Tháng",lỗi thiếu từ
23,"SN 433C, Phố Cạch Mảng Thảng Tàm",lỗi sai chính tả + thêm từ gây nhiễu
23,"SN 457/19, Càch Mảng Thảng Tãm",lỗi sai chính tả
23,"SN 525C, Cãch Máng Thảng",lỗi sai chính tả + thiếu từ
23,"SN 540/64B, Cách Mạng Tháng áTm",lỗi sai chính tả + đổi thứ tự các từ
23,"SN 628A, Cách Mạng Tháng Tám",không lỗi
23,"SN 644/40, Cáhc Mạng Tháng Tám",lỗi đổi thứ tự các từ
23,"SN 722/46, Phố Cách Mạng Tháng Tám",lỗi thêm từ gây nhiễu
23,"SN 847/85C, Caùch Maïng Thaùng Taùm",lỗi font
23,"SN 994C, Cách Mạng Tháng Tám",không lỗi
24,"SN 149C, Đào Duy Ahn",lỗi đổi thứ tự các từ
24,"SN 260/71, Đào Duy Anh",không lỗi
24,"SN 413/99, Nhà trống Đào Duy Anh",lỗi thêm từ gây nhiễu
24,"SN 477/90, Đạo Duy",lỗi sai chính tả + thiếu từ
24,"SN 495A, àĐo Duy Anh",lỗi sai chính tả + đổi thứ tự các từ
24,"SN 497/69, Đào Duy",lỗi thiếu từ
24,"SN 609/28, Đào Duy Anh",không lỗi
24,"SN 80/48C, Đào Duy Anh",lỗi thiếu từ + đổi thứ tự các từ
24,"SN 88/35, Ñaøo Duy Anh",lỗi font
24,"SN 893, Đão Duy Anh",lỗi sai chính tả
24,"SN 971/20, Không xác định Đạo Duy Anh",lỗi sai chính tả + thêm từ gây nhiễu
25,"SN 123/75, Ấp Lỷ Chĩnh Thắng",lỗi sai chính tả + thêm từ gây nhiễu
25,"SN 194B, Lỳ Chình Thắng",lỗi sai chính tả
25,"SN 200/42C, Nhà 2 tầng Lý Chính Thắng",lỗi thêm từ gây nhiễu
25,"SN 254B, Lý Chính Thắng",không lỗi
25,"SN 364/42B, Chình Thắng",lỗi sai chính tả + thiếu từ
25,"SN 568/76A, Lý hCính Thắng",lỗi sai chính tả + đổi thứ tự các từ
25,"SN 67/56B, Lý Chính Thắng",không lỗi
25,"SN 701/50A, ýL Chính Thắng",lỗi đổi thứ tự các từ
25,"SN 819/61, Lý Thắng",lỗi thiếu từ
25,"SN 844, Lý Chính Thắng",lỗi thiếu từ + đổi thứ tự các từ
25,"SN 963/67A, Lyù Chính Thaéng",lỗi font
26,"SN 122, Trần Quang Khải",lỗi thiếu từ + đổi thứ tự các từ
26,"SN 295/72C, Quang Khái",lỗi sai chính tả + thiếu từ
26,"SN 381/45A, Trần Quang Khải",không lỗi
26,"SN 395/54B, Không biết Trần Quang Khải",lỗi thêm từ gây nhiễu
26,"SN 414/15, Tầrn Quang Khải",lỗi sai chính tả + đổi thứ tự các từ
26,"SN 441/15B, Trần Khải",lỗi thiếu từ
26,"SN 500A, Trần Quang Khải",không lỗi
26,"SN 519A, Traàn Quang Khaûi",lỗi font
26,"SN 532/29C, Trần Qunag Khải",lỗi đổi thứ tự các từ
26,"SN 94/8C, Trẩn Quang Khãi",lỗi sai chính tả
26,"SN 979A, Nhà 2 tầng Trấn Quang Khái",lỗi sai chính tả + thêm từ gây nhiễu
27,"SN 141, Hai Bà Trưng",lỗi thiếu từ + đổi thứ tự các từ
27,"SN 151/85, Hai Trừng",lỗi sai chính tả + thiếu từ
27,"SN 206/54C, Hai Bà Trưng",không lỗi
27,"SN 364B, Hai àB Trưng",lỗi sai chính tả + đổi thứ tự các từ
27,"SN 395C, Bà Trưng",lỗi thiếu từ
27,"SN 411/54, Hai Bà Trưng",không lỗi
27,"SN 475/29, Không xác định Hai Bã Trựng",lỗi sai chính tả + thêm từ gây nhiễu
27,"SN 641/61B, Ấp Hai Bà Trưng",lỗi thêm từ gây nhiễu
27,"SN 665/41, Hai àB Trưng",lỗi đổi thứ tự các từ
27,"SN 895/98A, Hai Bả Trửng",lỗi sai chính tả
27,"SN 946/2, Hai Baø Tröng",lỗi font
28,"SN 135A, Đặng Táhi Thân",lỗi sai chính tả + đổi thứ tự các từ
28,"SN 40, Đặng Thại Thẩn",lỗi sai chính tả
28,"SN 435B, Đặng Thân",lỗi thiếu từ
28,"SN 643B, CSH Đặng Thái Thân",lỗi thêm từ gây nhiễu
28,"SN 71/21B, Đặng Thái Thân",không lỗi
28,"SN 71/2A, CSH Đặng Thài Thần",lỗi sai chính tả + thêm từ gây nhiễu
28,"SN 714, Đặng Thái Tâhn",lỗi đổi thứ tự các từ
28,"SN 817, Đặng Thái Thân",lỗi thiếu từ + đổi thứ tự các từ
28,"SN 901/45, Đặng Thái Thân",không lỗi
28,"SN 950, Đặng Thại",lỗi sai chính tả + thiếu từ
28,"SN 955/29A, Ñaëng Thaùi Thaân",lỗi font
29,"SN 10C, Nugyễn Văn Quá",lỗi đổi thứ tự các từ
29,"SN 204/3A, Nguyễn Văn Quá",không lỗi
29,"SN 416C, Ngõ Nguyến Văn Quạ",lỗi sai chính tả + thêm từ gây nhiễu
29,"SN 471A, Nguyeãn Vaên Quaù",lỗi font
29,"SN 512/83A, Nguyễn Văn Quá",không lỗi
29,"SN 568/49B, gNuyễn Văn Quá",lỗi sai chính tả + đổi thứ tự các từ
29,"SN 568/83A, Văn Quả",lỗi sai chính tả + thiếu từ
29,"SN 66/32C, Nguyễn Văn Quá",lỗi thiếu từ + đổi thứ tự các từ
29,"SN 785/28, Không xác định Nguyễn Văn Quá",lỗi thêm từ gây nhiễu
29,"SN 83/69, Văn Quá",lỗi thiếu từ
29,"SN 997/99, Nguyên Văn Quả",lỗi sai chính tả
30,"SN 160/14, Nguyện Chì Thanh",lỗi sai chính tả
30,"SN 201/62A, Nguyễn Chí Thnah",lỗi sai chính tả + đổi thứ tự các từ
30,"SN 307/69A, CSH Nguyển Chĩ Thanh",lỗi sai chính tả + thêm từ gây nhiễu
30,"SN 513, Nguyeãn Chí Thanh",lỗi font
30,"SN 601A, Nguyến Thanh",lỗi sai chính tả + thiếu từ
30,"SN 636/28, Nguyễn Chí Thanh",không lỗi
30,"SN 772/61, Nguyễn Chí Thanh",lỗi thiếu từ + đổi thứ tự các từ
30,"SN 785, gNuyễn Chí Thanh",lỗi đổi thứ tự các từ
30,"SN 857/38, Nhà 2 tầng Nguyễn Chí Thanh",lỗi thêm từ gây nhiễu
30,"SN 879C, Chí Thanh",lỗi thiếu từ
30,"SN 983, Nguyễn Chí Thanh",không lỗi
31,"SN 115/25A, rTần Khánh Dư",lỗi sai chính tả + đổi thứ tự các từ
31,"SN 136, Trnầ Khánh Dư",lỗi đổi thứ tự các từ
31,"SN 14B, Trần Khánh Dư",không lỗi
31,"SN 215, Trần Khánh Dư",lỗi thiếu từ + đổi thứ tự các từ
31,"SN 372, Trẩn Khãnh Dừ",lỗi sai chính tả
31,"SN 468C, Không biết Trần Khánh Dư",lỗi thêm từ gây nhiễu
31,"SN 56/27A, Traàn Khaùnh Dö",lỗi font
31,"SN 656B, Không biết Trẫn Khảnh Dừ",lỗi sai chính tả + thêm từ gây nhiễu
31,"SN 834C, Trẫn Dự",lỗi sai chính tả + thiếu từ
31,"SN 846, Trần Khánh Dư",không lỗi
31,"SN 977/84C, Trần Khánh",lỗi thiếu từ
32,"SN 141A, Hồ Tùng Muậ",lỗi đổi thứ tự các từ
32,"SN 395/37, Tùng Mậu",lỗi thiếu từ
32,"SN 43/46B, Không biết Hồ Tùng Mậu",lỗi thêm từ gây nhiễu
32,"SN 451/58, Hồ Tùng Mậu",lỗi thiếu từ + đổi thứ tự các từ
32,"SN 594/24, Hồ Tùng Mậu",không lỗi
32,"SN 726, Hoà Tuøng Maäu",lỗi font
32,"SN 783C, ồH Tùng Mậu",lỗi sai chính tả + đổi thứ tự các từ
32,"SN 79/40A, Hỗ Tũng Mấu",lỗi sai chính tả
32,"SN 840A, Hồ Tùng Mậu",không lỗi
32,"SN 859/22, Hố Tũng",lỗi sai chính tả + thiếu từ
32,"SN 959C, Nhà 2 tầng Hỗ Tụng Mấu",lỗi sai chính tả + thêm từ gây nhiễu
33,"SN 272, Nguyên Cứ Trinh",lỗi sai chính tả
33,"SN 321/82C, Cự Trinh",lỗi sai chính tả + thiếu từ
33,"SN 36/12, Nguyễn Cư Trinh",không lỗi
33,"SN 386, Nguyeãn Cö Trinh",lỗi font
33,"SN 731C, Nguyễn Cư Trinh",không lỗi
33,"SN 765/11A, Nguyễn Cư Trinh",lỗi thiếu từ + đổi thứ tự các từ
33,"SN 817/99C, Nhà trống Nguyện Cứ Trinh",lỗi sai chính tả + thêm từ gây nhiễu
33,"SN 885C, Nhà trống Nguyễn Cư Trinh",lỗi thêm từ gây nhiễu
33,"SN 897, Cư Trinh",lỗi thiếu từ
33,"SN 949, Nguyễn ưC Trinh",lỗi sai chính tả + đổi thứ tự các từ
33,"SN 96, Nguyễn ưC Trinh",lỗi đổi thứ tự các từ
34,"SN 119B, Phan Kế Bính",không lỗi
34,"SN 302C, Phan Kế Bính",lỗi thiếu từ + đổi thứ tự các từ
34,"SN 449B, Hẻm Phan Kế Bính",lỗi thêm từ gây nhiễu
34,"SN 679/40, Phan Kể Bĩnh",lỗi sai chính tả
34,"SN 708C, Phan Bính",lỗi thiếu từ
34,"SN 756C, Phường Phan Kể Bịnh",lỗi sai chính tả + thêm từ gây nhiễu
34,"SN 831/92A, Phna Kế Bính",lỗi sai chính tả + đổi thứ tự các từ
34,"SN 835, Phan Kế íBnh",lỗi đổi thứ tự các từ
34,"SN 84, Phan Kể",lỗi sai chính tả + thiếu từ
34,"SN 955, Phan Kế Bính",không lỗi
